Date,LeadSource,DailySpend,Impressions,Clicks,CTR
2024-11-01,Facebook,5000,25000,450,1.80%
2024-11-01,Instagram,3000,18000,320,1.78%
2024-11-01,Google Ads,8000,35000,520,1.49%
2024-11-01,LinkedIn,4000,12000,180,1.50%
2024-11-01,YouTube,2000,50000,280,0.56%
2024-11-01,WhatsApp,0,0,0,0.00%
2024-11-01,Referral,0,0,0,0.00%
2024-11-02,Facebook,5000,26000,480,1.85%
2024-11-02,Instagram,3000,19000,340,1.79%
2024-11-02,Google Ads,8000,36000,540,1.50%
2024-11-02,LinkedIn,4000,13000,190,1.46%
2024-11-02,YouTube,2000,51000,290,0.57%
2024-11-02,WhatsApp,0,0,0,0.00%
2024-11-02,Referral,0,0,0,0.00%
2024-11-03,Facebook,5000,24000,440,1.83%
2024-11-03,Instagram,3000,17000,310,1.82%
2024-11-03,Google Ads,8000,34000,510,1.50%
2024-11-03,LinkedIn,4000,11000,170,1.55%
2024-11-03,YouTube,2000,49000,270,0.55%
2024-11-03,WhatsApp,0,0,0,0.00%
2024-11-03,Referral,0,0,0,0.00%
2024-11-04,Facebook,5000,27000,490,1.81%
2024-11-04,Instagram,3000,20000,350,1.75%
2024-11-04,Google Ads,8000,37000,550,1.49%
2024-11-04,LinkedIn,4000,14000,200,1.43%
2024-11-04,YouTube,2000,52000,300,0.58%
2024-11-04,WhatsApp,0,0,0,0.00%
2024-11-04,Referral,0,0,0,0.00%
2024-11-05,Facebook,5000,25500,460,1.80%
2024-11-05,Instagram,3000,18500,330,1.78%
2024-11-05,Google Ads,8000,35500,530,1.49%
2024-11-05,LinkedIn,4000,12500,185,1.48%
2024-11-05,YouTube,2000,50500,285,0.56%
2024-11-05,WhatsApp,0,0,0,0.00%
2024-11-05,Referral,0,0,0,0.00%
2024-11-06,Facebook,5500,26500,470,1.77%
2024-11-06,Instagram,3500,19500,345,1.77%
2024-11-06,Google Ads,8500,36500,545,1.49%
2024-11-06,LinkedIn,4500,13500,195,1.44%
2024-11-06,YouTube,2500,51500,295,0.57%
2024-11-06,WhatsApp,0,0,0,0.00%
2024-11-06,Referral,0,0,0,0.00%
2024-11-07,Facebook,5500,27500,485,1.76%
2024-11-07,Instagram,3500,20500,355,1.73%
2024-11-07,Google Ads,8500,37500,555,1.48%
2024-11-07,LinkedIn,4500,14500,205,1.41%
2024-11-07,YouTube,2500,52500,305,0.58%
2024-11-07,WhatsApp,0,0,0,0.00%
2024-11-07,Referral,0,0,0,0.00%
2024-11-08,Facebook,5500,24500,445,1.82%
2024-11-08,Instagram,3500,17500,315,1.80%
2024-11-08,Google Ads,8500,34500,515,1.49%
2024-11-08,LinkedIn,4500,11500,175,1.52%
2024-11-08,YouTube,2500,49500,275,0.56%
2024-11-08,WhatsApp,0,0,0,0.00%
2024-11-08,Referral,0,0,0,0.00%
2024-11-09,Facebook,5500,28000,495,1.77%
2024-11-09,Instagram,3500,21000,360,1.71%
2024-11-09,Google Ads,8500,38000,560,1.47%
2024-11-09,LinkedIn,4500,15000,210,1.40%
2024-11-09,YouTube,2500,53000,310,0.58%
2024-11-09,WhatsApp,0,0,0,0.00%
2024-11-09,Referral,0,0,0,0.00%
2024-11-10,Facebook,5500,26000,465,1.79%
2024-11-10,Instagram,3500,19000,335,1.76%
2024-11-10,Google Ads,8500,36000,535,1.49%
2024-11-10,LinkedIn,4500,13000,190,1.46%
2024-11-10,YouTube,2500,51000,290,0.57%
2024-11-10,WhatsApp,0,0,0,0.00%
2024-11-10,Referral,0,0,0,0.00%
2024-11-11,Facebook,6000,27000,480,1.78%
2024-11-11,Instagram,4000,20000,350,1.75%
2024-11-11,Google Ads,9000,37000,550,1.49%
2024-11-11,LinkedIn,5000,14000,200,1.43%
2024-11-11,YouTube,3000,52000,300,0.58%
2024-11-11,WhatsApp,0,0,0,0.00%
2024-11-11,Referral,0,0,0,0.00%
2024-11-12,Facebook,6000,25000,450,1.80%
2024-11-12,Instagram,4000,18000,325,1.81%
2024-11-12,Google Ads,9000,35000,520,1.49%
2024-11-12,LinkedIn,5000,12000,180,1.50%
2024-11-12,YouTube,3000,50000,280,0.56%
2024-11-12,WhatsApp,0,0,0,0.00%
2024-11-12,Referral,0,0,0,0.00%
2024-11-13,Facebook,6000,28000,490,1.75%
2024-11-13,Instagram,4000,21000,365,1.74%
2024-11-13,Google Ads,9000,38000,565,1.49%
2024-11-13,LinkedIn,5000,15000,215,1.43%
2024-11-13,YouTube,3000,53000,315,0.59%
2024-11-13,WhatsApp,0,0,0,0.00%
2024-11-13,Referral,0,0,0,0.00%
2024-11-14,Facebook,6000,26500,475,1.79%
2024-11-14,Instagram,4000,19500,340,1.74%
2024-11-14,Google Ads,9000,36500,540,1.48%
2024-11-14,LinkedIn,5000,13500,195,1.44%
2024-11-14,YouTube,3000,51500,295,0.57%
2024-11-14,WhatsApp,0,0,0,0.00%
2024-11-14,Referral,0,0,0,0.00%
2024-11-15,Facebook,6000,27500,485,1.76%
2024-11-15,Instagram,4000,20500,355,1.73%
2024-11-15,Google Ads,9000,37500,555,1.48%
2024-11-15,LinkedIn,5000,14500,205,1.41%
2024-11-15,YouTube,3000,52500,305,0.58%
2024-11-15,WhatsApp,0,0,0,0.00%
2024-11-15,Referral,0,0,0,0.00%
2024-11-16,Facebook,6500,28500,495,1.74%
2024-11-16,Instagram,4500,21500,370,1.72%
2024-11-16,Google Ads,9500,38500,570,1.48%
2024-11-16,LinkedIn,5500,15500,220,1.42%
2024-11-16,YouTube,3500,53500,320,0.60%
2024-11-16,WhatsApp,0,0,0,0.00%
2024-11-16,Referral,0,0,0,0.00%
2024-11-17,Facebook,6500,27000,480,1.78%
2024-11-17,Instagram,4500,20000,350,1.75%
2024-11-17,Google Ads,9500,37000,550,1.49%
2024-11-17,LinkedIn,5500,14000,200,1.43%
2024-11-17,YouTube,3500,52000,300,0.58%
2024-11-17,WhatsApp,0,0,0,0.00%
2024-11-17,Referral,0,0,0,0.00%
2024-11-18,Facebook,6500,29000,500,1.72%
2024-11-18,Instagram,4500,22000,380,1.73%
2024-11-18,Google Ads,9500,39000,580,1.49%
2024-11-18,LinkedIn,5500,16000,230,1.44%
2024-11-18,YouTube,3500,54000,330,0.61%
2024-11-18,WhatsApp,0,0,0,0.00%
2024-11-18,Referral,0,0,0,0.00%
2024-11-19,Facebook,6500,27500,485,1.76%
2024-11-19,Instagram,4500,20500,360,1.76%
2024-11-19,Google Ads,9500,37500,560,1.49%
2024-11-19,LinkedIn,5500,14500,210,1.45%
2024-11-19,YouTube,3500,52500,310,0.59%
2024-11-19,WhatsApp,0,0,0,0.00%
2024-11-19,Referral,0,0,0,0.00%
2024-11-20,Facebook,6500,28000,490,1.75%
2024-11-20,Instagram,4500,21000,365,1.74%
2024-11-20,Google Ads,9500,38000,565,1.49%
2024-11-20,LinkedIn,5500,15000,215,1.43%
2024-11-20,YouTube,3500,53000,315,0.59%
2024-11-20,WhatsApp,0,0,0,0.00%
2024-11-20,Referral,0,0,0,0.00%
2024-11-21,Facebook,7000,29000,505,1.74%
2024-11-21,Instagram,5000,22000,385,1.75%
2024-11-21,Google Ads,10000,39000,585,1.50%
2024-11-21,LinkedIn,6000,16000,235,1.47%
2024-11-21,YouTube,4000,54000,335,0.62%
2024-11-21,WhatsApp,0,0,0,0.00%
2024-11-21,Referral,0,0,0,0.00%
2024-11-22,Facebook,7000,27500,480,1.75%
2024-11-22,Instagram,5000,20500,355,1.73%
2024-11-22,Google Ads,10000,37500,555,1.48%
2024-11-22,LinkedIn,6000,14500,205,1.41%
2024-11-22,YouTube,4000,52500,305,0.58%
2024-11-22,WhatsApp,0,0,0,0.00%
2024-11-22,Referral,0,0,0,0.00%
2024-11-23,Facebook,7000,29500,510,1.73%
2024-11-23,Instagram,5000,22500,390,1.73%
2024-11-23,Google Ads,10000,39500,590,1.49%
2024-11-23,LinkedIn,6000,16500,240,1.45%
2024-11-23,YouTube,4000,54500,340,0.62%
2024-11-23,WhatsApp,0,0,0,0.00%
2024-11-23,Referral,0,0,0,0.00%
2024-11-24,Facebook,7000,28000,485,1.73%
2024-11-24,Instagram,5000,21000,365,1.74%
2024-11-24,Google Ads,10000,38000,565,1.49%
2024-11-24,LinkedIn,6000,15000,215,1.43%
2024-11-24,YouTube,4000,53000,315,0.59%
2024-11-24,WhatsApp,0,0,0,0.00%
2024-11-24,Referral,0,0,0,0.00%
2024-11-25,Facebook,7000,28500,490,1.72%
2024-11-25,Instagram,5000,21500,370,1.72%
2024-11-25,Google Ads,10000,38500,570,1.48%
2024-11-25,LinkedIn,6000,15500,220,1.42%
2024-11-25,YouTube,4000,53500,320,0.60%
2024-11-25,WhatsApp,0,0,0,0.00%
2024-11-25,Referral,0,0,0,0.00%
2024-11-26,Facebook,7500,30000,515,1.72%
2024-11-26,Instagram,5500,23000,400,1.74%
2024-11-26,Google Ads,10500,40000,600,1.50%
2024-11-26,LinkedIn,6500,17000,250,1.47%
2024-11-26,YouTube,4500,55000,350,0.64%
2024-11-26,WhatsApp,0,0,0,0.00%
2024-11-26,Referral,0,0,0,0.00%
2024-11-27,Facebook,7500,28500,490,1.72%
2024-11-27,Instagram,5500,21500,375,1.74%
2024-11-27,Google Ads,10500,38500,575,1.49%
2024-11-27,LinkedIn,6500,15500,225,1.45%
2024-11-27,YouTube,4500,53500,325,0.61%
2024-11-27,WhatsApp,0,0,0,0.00%
2024-11-27,Referral,0,0,0,0.00%
2024-11-28,Facebook,7500,30500,520,1.70%
2024-11-28,Instagram,5500,23500,410,1.74%
2024-11-28,Google Ads,10500,40500,605,1.49%
2024-11-28,LinkedIn,6500,17500,255,1.46%
2024-11-28,YouTube,4500,55500,355,0.64%
2024-11-28,WhatsApp,0,0,0,0.00%
2024-11-28,Referral,0,0,0,0.00%
2024-11-29,Facebook,7500,29000,500,1.72%
2024-11-29,Instagram,5500,22000,385,1.75%
2024-11-29,Google Ads,10500,39000,585,1.50%
2024-11-29,LinkedIn,6500,16000,235,1.47%
2024-11-29,YouTube,4500,54000,335,0.62%
2024-11-29,WhatsApp,0,0,0,0.00%
2024-11-29,Referral,0,0,0,0.00%
2024-11-30,Facebook,7500,29500,505,1.71%
2024-11-30,Instagram,5500,22500,395,1.76%
2024-11-30,Google Ads,10500,39500,590,1.49%
2024-11-30,LinkedIn,6500,16500,240,1.45%
2024-11-30,YouTube,4500,54500,340,0.62%
2024-11-30,WhatsApp,0,0,0,0.00%
2024-11-30,Referral,0,0,0,0.00%
2024-12-01,Facebook,8000,31000,530,1.71%
2024-12-01,Instagram,6000,24000,420,1.75%
2024-12-01,Google Ads,11000,41000,615,1.50%
2024-12-01,LinkedIn,7000,18000,265,1.47%
2024-12-01,YouTube,5000,56000,360,0.64%
2024-12-01,WhatsApp,0,0,0,0.00%
2024-12-01,Referral,0,0,0,0.00%
2024-12-02,Facebook,8000,29500,505,1.71%
2024-12-02,Instagram,6000,22500,390,1.73%
2024-12-02,Google Ads,11000,39500,590,1.49%
2024-12-02,LinkedIn,7000,16500,240,1.45%
2024-12-02,YouTube,5000,54500,340,0.62%
2024-12-02,WhatsApp,0,0,0,0.00%
2024-12-02,Referral,0,0,0,0.00%
2024-12-03,Facebook,8000,31500,535,1.70%
2024-12-03,Instagram,6000,24500,425,1.73%
2024-12-03,Google Ads,11000,41500,620,1.49%
2024-12-03,LinkedIn,7000,18500,270,1.46%
2024-12-03,YouTube,5000,56500,365,0.65%
2024-12-03,WhatsApp,0,0,0,0.00%
2024-12-03,Referral,0,0,0,0.00%
2024-12-04,Facebook,8000,30000,510,1.70%
2024-12-04,Instagram,6000,23000,400,1.74%
2024-12-04,Google Ads,11000,40000,600,1.50%
2024-12-04,LinkedIn,7000,17000,250,1.47%
2024-12-04,YouTube,5000,55000,350,0.64%
2024-12-04,WhatsApp,0,0,0,0.00%
2024-12-04,Referral,0,0,0,0.00%
2024-12-05,Facebook,8000,30500,515,1.69%
2024-12-05,Instagram,6000,23500,405,1.72%
2024-12-05,Google Ads,11000,40500,605,1.49%
2024-12-05,LinkedIn,7000,17500,255,1.46%
2024-12-05,YouTube,5000,55500,355,0.64%
2024-12-05,WhatsApp,0,0,0,0.00%
2024-12-05,Referral,0,0,0,0.00%
2024-12-06,Facebook,8500,32000,545,1.70%
2024-12-06,Instagram,6500,25000,435,1.74%
2024-12-06,Google Ads,11500,42000,630,1.50%
2024-12-06,LinkedIn,7500,19000,280,1.47%
2024-12-06,YouTube,5500,57000,375,0.66%
2024-12-06,WhatsApp,0,0,0,0.00%
2024-12-06,Referral,0,0,0,0.00%
2024-12-07,Facebook,8500,30500,520,1.70%
2024-12-07,Instagram,6500,23500,410,1.74%
2024-12-07,Google Ads,11500,40500,610,1.51%
2024-12-07,LinkedIn,7500,17500,260,1.49%
2024-12-07,YouTube,5500,55500,360,0.65%
2024-12-07,WhatsApp,0,0,0,0.00%
2024-12-07,Referral,0,0,0,0.00%
2024-12-08,Facebook,8500,32500,550,1.69%
2024-12-08,Instagram,6500,25500,440,1.73%
2024-12-08,Google Ads,11500,42500,635,1.49%
2024-12-08,LinkedIn,7500,19500,285,1.46%
2024-12-08,YouTube,5500,57500,380,0.66%
2024-12-08,WhatsApp,0,0,0,0.00%
2024-12-08,Referral,0,0,0,0.00%
2024-12-09,Facebook,8500,31000,525,1.69%
2024-12-09,Instagram,6500,24000,415,1.73%
2024-12-09,Google Ads,11500,41000,615,1.50%
2024-12-09,LinkedIn,7500,18000,265,1.47%
2024-12-09,YouTube,5500,56000,365,0.65%
2024-12-09,WhatsApp,0,0,0,0.00%
2024-12-09,Referral,0,0,0,0.00%
2024-12-10,Facebook,8500,31500,530,1.68%
2024-12-10,Instagram,6500,24500,420,1.71%
2024-12-10,Google Ads,11500,41500,620,1.49%
2024-12-10,LinkedIn,7500,18500,270,1.46%
2024-12-10,YouTube,5500,56500,370,0.65%
2024-12-10,WhatsApp,0,0,0,0.00%
2024-12-10,Referral,0,0,0,0.00%
2024-12-11,Facebook,9000,33000,560,1.70%
2024-12-11,Instagram,7000,26000,450,1.73%
2024-12-11,Google Ads,12000,43000,645,1.50%
2024-12-11,LinkedIn,8000,20000,295,1.48%
2024-12-11,YouTube,6000,58000,390,0.67%
2024-12-11,WhatsApp,0,0,0,0.00%
2024-12-11,Referral,0,0,0,0.00%
2024-12-12,Facebook,9000,31500,535,1.70%
2024-12-12,Instagram,7000,24500,425,1.73%
2024-12-12,Google Ads,12000,41500,625,1.51%
2024-12-12,LinkedIn,8000,18500,275,1.49%
2024-12-12,YouTube,6000,56500,375,0.66%
2024-12-12,WhatsApp,0,0,0,0.00%
2024-12-12,Referral,0,0,0,0.00%
2024-12-13,Facebook,9000,33500,565,1.69%
2024-12-13,Instagram,7000,26500,455,1.72%
2024-12-13,Google Ads,12000,43500,650,1.49%
2024-12-13,LinkedIn,8000,20500,300,1.46%
2024-12-13,YouTube,6000,58500,395,0.68%
2024-12-13,WhatsApp,0,0,0,0.00%
2024-12-13,Referral,0,0,0,0.00%
2024-12-14,Facebook,9000,32000,540,1.69%
2024-12-14,Instagram,7000,25000,430,1.72%
2024-12-14,Google Ads,12000,42000,630,1.50%
2024-12-14,LinkedIn,8000,19000,280,1.47%
2024-12-14,YouTube,6000,57000,380,0.67%
2024-12-14,WhatsApp,0,0,0,0.00%
2024-12-14,Referral,0,0,0,0.00%
2024-12-15,Facebook,9000,32500,545,1.68%
2024-12-15,Instagram,7000,25500,435,1.71%
2024-12-15,Google Ads,12000,42500,635,1.49%
2024-12-15,LinkedIn,8000,19500,285,1.46%
2024-12-15,YouTube,6000,57500,385,0.67%
2024-12-15,WhatsApp,0,0,0,0.00%
2024-12-15,Referral,0,0,0,0.00%
